age,numberofdependents,zipcode,latitude,longitude,population,numberofreferrals,avgmonthlylongdistancecharges,avgmonthlygbdownload,monthlycharge,satisfactionscore,churnscore,cltv
78.0,0.0,90022.0,34.02381,-118.156582,68701.0,0.0,0.0,8.0,39.65,3.0,91.0,5433.0
74.0,1.0,90063.0,34.044271,-118.185237,55668.0,1.0,48.85,17.0,80.65,3.0,69.0,5302.0
71.0,3.0,90065.0,34.108833,-118.229715,47534.0,0.0,11.33,52.0,95.45,2.0,81.0,3179.0
78.0,1.0,90303.0,33.936291,-118.332639,27778.0,1.0,19.76,12.0,98.5,2.0,88.0,5337.0
80.0,1.0,90602.0,33.972119,-118.020188,26265.0,1.0,6.33,14.0,76.5,2.0,67.0,2793.0
72.0,1.0,90660.0,33.989524,-118.089299,63288.0,0.0,3.33,18.0,78.05,1.0,95.0,4638.0
76.0,2.0,90720.0,33.79499,-118.065591,21343.0,1.0,15.28,30.0,70.45,2.0,76.0,3964.0
66.0,0.0,91024.0,34.168686,-118.057505,10558.0,6.0,0.0,24.0,45.3,1.0,91.0,5444.0
70.0,2.0,91106.0,34.139402,-118.128658,23742.0,0.0,44.07,19.0,74.45,2.0,91.0,5717.0
77.0,2.0,91107.0,34.159007,-118.087353,32369.0,0.0,26.95,18.0,76.45,2.0,81.0,4419.0
78.0,1.0,91605.0,34.207295,-118.400022,57146.0,0.0,11.59,29.0,95.0,1.0,85.0,5980.0
65.0,0.0,91722.0,34.097345,-117.906736,33817.0,0.0,29.11,29.0,74.4,1.0,86.0,4616.0
77.0,0.0,91732.0,34.074492,-118.01462,62660.0,1.0,0.0,12.0,40.2,2.0,65.0,5828.0
67.0,0.0,91746.0,34.038983,-117.991372,30802.0,0.0,0.0,28.0,41.15,2.0,96.0,2314.0
68.0,0.0,91748.0,33.976753,-117.897367,46342.0,0.0,32.68,11.0,106.9,1.0,84.0,2494.0
68.0,0.0,91764.0,34.074087,-117.605618,49474.0,0.0,9.43,9.0,94.45,1.0,81.0,3810.0
66.0,0.0,91901.0,32.827184,-116.703729,16486.0,0.0,1.78,7.0,74.5,2.0,80.0,4345.0
69.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,30.87,15.0,76.1,2.0,91.0,2018.0
74.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,31.61,2.0,95.45,3.0,85.0,3677.0
76.0,0.0,92122.0,32.85723,-117.209774,34902.0,2.0,47.34,10.0,74.9,2.0,69.0,4105.0
77.0,0.0,92122.0,32.85723,-117.209774,34902.0,1.0,16.1,12.0,93.15,2.0,73.0,2212.0
70.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,12.08,5.0,82.45,1.0,83.0,4149.0
74.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,13.17,10.0,70.35,3.0,73.0,2671.0
77.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,0.0,8.0,41.9,1.0,90.0,4778.0
71.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,0.0,13.0,30.75,1.0,91.0,2927.0
79.0,0.0,92122.0,32.85723,-117.209774,34902.0,1.0,29.54,0.0,19.95,1.0,80.0,5888.0
66.0,0.0,92122.0,32.85723,-117.209774,34902.0,2.0,42.82,27.0,85.45,1.0,91.0,5502.0
77.0,0.0,92122.0,32.85723,-117.209774,34902.0,0.0,9.22,14.0,81.35,1.0,73.0,2818.0
80.0,0.0,92274.0,33.53604,-116.119222,17018.0,0.0,35.09,17.0,75.3,2.0,67.0,4902.0
77.0,0.0,92509.0,34.004379,-117.447864,63999.0,0.0,0.0,26.0,28.45,2.0,89.0,4099.0
77.0,0.0,92544.0,33.644585,-116.871544,39264.0,0.0,48.73,12.0,94.1,1.0,87.0,2666.0
72.0,0.0,92557.0,33.970661,-117.255039,46214.0,4.0,45.76,22.0,74.35,1.0,82.0,5273.0
80.0,0.0,92571.0,33.828289,-117.201666,26357.0,2.0,7.02,25.0,75.2,1.0,91.0,4517.0
74.0,0.0,92807.0,33.848733,-117.788357,36301.0,0.0,48.35,24.0,89.2,1.0,74.0,5808.0
68.0,0.0,92823.0,33.924143,-117.79387,1408.0,0.0,45.81,21.0,85.7,1.0,66.0,4880.0
78.0,0.0,92887.0,33.884073,-117.732197,20893.0,3.0,18.39,28.0,105.25,1.0,91.0,4196.0
75.0,0.0,93067.0,34.420998,-119.60137,576.0,3.0,22.92,14.0,90.05,2.0,96.0,5059.0
77.0,0.0,93101.0,34.419203,-119.710008,31727.0,1.0,14.52,5.0,110.75,2.0,65.0,2728.0
80.0,0.0,93201.0,35.869626,-119.498771,1054.0,0.0,48.8,12.0,104.55,1.0,91.0,6268.0
75.0,0.0,93208.0,36.057458,-118.591951,191.0,7.0,5.31,10.0,94.55,1.0,84.0,5604.0
69.0,0.0,93215.0,35.772244,-119.209689,37280.0,0.0,47.47,19.0,89.5,2.0,80.0,2065.0
74.0,0.0,93224.0,35.215731,-119.57013,626.0,0.0,27.95,0.0,19.65,2.0,83.0,5432.0
76.0,0.0,92592.0,33.507255,-117.029473,46171.0,0.0,0.0,18.0,49.15,2.0,90.0,5597.0
69.0,0.0,92129.0,32.961064,-117.134917,47224.0,0.0,43.99,27.0,49.25,2.0,95.0,3475.0
72.0,0.0,92129.0,32.961064,-117.134917,47224.0,1.0,27.78,8.0,94.5,3.0,91.0,4333.0
69.0,0.0,92129.0,32.961064,-117.134917,47224.0,0.0,45.88,19.0,91.7,1.0,90.0,2482.0
78.0,0.0,95607.0,38.681651,-122.130569,262.0,0.0,18.39,0.0,20.3,5.0,71.0,3740.0
73.0,0.0,92129.0,32.961064,-117.134917,47224.0,0.0,44.44,13.0,98.55,3.0,92.0,5444.0
65.0,0.0,93606.0,36.798882,-120.019511,807.0,0.0,2.37,20.0,110.0,1.0,81.0,2403.0
74.0,0.0,93662.0,36.545322,-119.642281,26213.0,1.0,21.91,11.0,95.6,3.0,83.0,3265.0
65.0,0.0,93675.0,36.719141,-119.202677,3146.0,0.0,36.93,18.0,78.85,3.0,72.0,5301.0
66.0,0.0,93706.0,36.654614,-119.903674,35790.0,0.0,37.38,7.0,100.0,3.0,83.0,5679.0
71.0,0.0,93928.0,35.930782,-121.189757,254.0,1.0,5.37,24.0,73.65,1.0,95.0,5849.0
65.0,0.0,94102.0,37.7795,-122.419233,28998.0,0.0,48.71,15.0,100.5,1.0,70.0,4038.0
69.0,0.0,94108.0,37.791998,-122.408653,13723.0,0.0,5.46,24.0,72.85,1.0,91.0,3189.0
75.0,0.0,94114.0,37.758085,-122.434801,30587.0,0.0,36.92,6.0,73.55,2.0,94.0,4369.0
75.0,0.0,94130.0,37.820894,-122.369725,1458.0,0.0,41.9,11.0,79.4,1.0,91.0,3501.0
68.0,0.0,94304.0,37.386978,-122.177746,1723.0,0.0,6.68,17.0,84.6,1.0,83.0,2467.0
71.0,0.0,94512.0,38.140719,-121.838298,138.0,0.0,20.83,19.0,99.05,1.0,82.0,2074.0
80.0,0.0,94514.0,37.83323,-121.601461,10153.0,0.0,26.62,11.0,44.95,2.0,84.0,5900.0
66.0,0.0,94539.0,37.516791,-121.899117,46917.0,0.0,11.57,27.0,100.3,1.0,74.0,5084.0
73.0,0.0,94550.0,37.571748,-121.659562,75929.0,2.0,0.0,28.0,30.35,1.0,96.0,4829.0
77.0,0.0,94558.0,38.489789,-122.27011,63947.0,1.0,7.11,16.0,103.75,1.0,91.0,5052.0
76.0,0.0,94566.0,37.633361,-121.862395,36669.0,1.0,33.19,15.0,80.6,2.0,72.0,3601.0
65.0,0.0,94583.0,37.766556,-121.976784,44078.0,0.0,49.5,23.0,94.3,2.0,91.0,5419.0
75.0,0.0,94588.0,37.685052,-121.912061,28568.0,1.0,10.6,23.0,75.5,1.0,65.0,2377.0
75.0,0.0,94704.0,37.871416,-122.246597,21205.0,0.0,40.45,29.0,100.6,1.0,90.0,5906.0
68.0,0.0,94707.0,37.897753,-122.279391,11889.0,1.0,25.77,2.0,88.3,1.0,68.0,4486.0
71.0,0.0,94710.0,37.872902,-122.303708,8157.0,0.0,42.93,9.0,92.1,1.0,81.0,5662.0
74.0,0.0,94904.0,37.946617,-122.563571,12010.0,0.0,11.31,24.0,90.45,3.0,96.0,4777.0
77.0,0.0,94933.0,38.010092,-122.689442,1025.0,0.0,0.0,10.0,43.65,1.0,74.0,2437.0
73.0,0.0,95019.0,36.936228,-121.785559,4753.0,0.0,40.37,21.0,74.3,1.0,90.0,2995.0
68.0,0.0,95020.0,37.03889,-121.528955,49968.0,0.0,3.96,27.0,89.7,2.0,89.0,2202.0
74.0,0.0,95030.0,37.222842,-121.988727,13290.0,1.0,28.18,16.0,100.45,3.0,87.0,5508.0
65.0,0.0,95128.0,37.316146,-121.936285,32804.0,1.0,33.25,26.0,105.65,3.0,96.0,4687.0
73.0,0.0,95135.0,37.28682,-121.723877,15798.0,5.0,17.25,27.0,104.05,3.0,82.0,4553.0
74.0,0.0,95232.0,38.358464,-120.579304,21.0,1.0,3.29,9.0,80.4,2.0,89.0,3834.0
80.0,0.0,95310.0,38.085839,-120.37855,2144.0,0.0,34.62,14.0,60.05,1.0,70.0,4716.0
76.0,0.0,92027.0,33.141265,-116.967221,48690.0,0.0,38.75,16.0,96.15,2.0,96.0,5913.0
73.0,0.0,90712.0,33.840524,-118.148403,30173.0,0.0,6.13,30.0,95.25,2.0,90.0,3180.0
70.0,0.0,95439.0,38.493888,-122.777141,476.0,1.0,24.13,24.0,89.6,1.0,69.0,5651.0
75.0,0.0,95464.0,39.12334,-122.838198,2223.0,1.0,13.63,27.0,89.5,2.0,89.0,3077.0
74.0,0.0,95511.0,40.166028,-123.584144,261.0,1.0,45.25,22.0,85.6,1.0,83.0,4981.0
76.0,0.0,95524.0,40.825486,-124.049485,1689.0,0.0,19.18,22.0,86.6,3.0,81.0,2508.0
