,churnreason,event_timestamp,customer_ids,gender,age,satisfactionscore,monthlycharge,avgmonthlygbdownload,churnlabel
0,Competitor offered more data,1948-01-23 20:35:50.988524+00:00,0,Male,0.9672131147540984,0.4999999999999999,0.2129353233830846,0.0941176470588235,Yes
1,Competitor made better offer,1948-01-24 20:35:50.988524+00:00,1,Female,0.9016393442622952,0.4999999999999999,0.6208955223880598,0.1999999999999999,Yes
2,Competitor made better offer,1948-01-25 20:35:50.988524+00:00,2,Male,0.8524590163934427,0.2499999999999999,0.7681592039800995,0.6117647058823529,Yes
3,Limited range of services,1948-01-26 20:35:50.988524+00:00,3,Female,0.9672131147540984,0.2499999999999999,0.7985074626865671,0.1411764705882352,Yes
4,Extra data charges,1948-01-27 20:35:50.988524+00:00,4,Female,1.0,0.2499999999999999,0.5796019900497512,0.1647058823529411,Yes
5,Competitor had better devices,1948-01-28 20:35:50.988524+00:00,5,Female,0.8688524590163935,0.0,0.5950248756218905,0.2117647058823529,Yes
6,Don't know,1948-01-29 20:35:50.988524+00:00,6,Female,0.9344262295081968,0.2499999999999999,0.5194029850746269,0.3529411764705882,Yes
7,Service dissatisfaction,1948-01-30 20:35:50.988524+00:00,7,Male,0.7704918032786886,0.0,0.2691542288557214,0.2823529411764705,Yes
8,Limited range of services,1948-01-31 20:35:50.988524+00:00,8,Female,0.8360655737704918,0.2499999999999999,0.5592039800995026,0.2235294117647058,Yes
9,Lack of affordable download/upload speed,1948-02-01 20:35:50.988524+00:00,9,Female,0.9508196721311476,0.2499999999999999,0.5791044776119403,0.2117647058823529,Yes
10,Product dissatisfaction,1948-02-02 20:35:50.988524+00:00,10,Female,0.9672131147540984,0.0,0.763681592039801,0.3411764705882352,Yes
11,Competitor had better devices,1948-02-03 20:35:50.988524+00:00,11,Male,0.7540983606557378,0.0,0.5587064676616916,0.3411764705882352,Yes
12,Limited range of services,1948-02-04 20:35:50.988524+00:00,12,Male,0.9508196721311476,0.2499999999999999,0.218407960199005,0.1411764705882352,Yes
13,Long distance charges,1948-02-05 20:35:50.988524+00:00,13,Male,0.7868852459016393,0.2499999999999999,0.2278606965174129,0.3294117647058823,Yes
14,Competitor had better devices,1948-02-06 20:35:50.988524+00:00,14,Male,0.8032786885245902,0.0,0.882089552238806,0.1294117647058823,Yes
15,Competitor had better devices,1948-02-07 20:35:50.988524+00:00,15,Female,0.8032786885245902,0.0,0.7582089552238807,0.1058823529411764,Yes
16,Poor expertise of online support,1948-02-08 20:35:50.988524+00:00,16,Male,0.7704918032786886,0.2499999999999999,0.5597014925373134,0.0823529411764705,Yes
17,Competitor made better offer,1948-02-09 20:35:50.988524+00:00,17,Male,0.819672131147541,0.2499999999999999,0.5756218905472636,0.176470588235294,Yes
18,Competitor made better offer,1948-02-10 20:35:50.988524+00:00,18,Female,0.9016393442622952,0.4999999999999999,0.7681592039800995,0.0235294117647058,Yes
19,Attitude of support person,1948-02-11 20:35:50.988524+00:00,19,Male,0.9344262295081968,0.2499999999999999,0.5636815920398011,0.1176470588235293,Yes
20,Competitor made better offer,1948-02-12 20:35:50.988524+00:00,20,Male,0.9508196721311476,0.2499999999999999,0.745273631840796,0.1411764705882352,Yes
21,Competitor made better offer,1948-02-13 20:35:50.988524+00:00,21,Female,0.8360655737704918,0.0,0.6388059701492538,0.0588235294117646,Yes
22,Don't know,1948-02-14 20:35:50.988524+00:00,22,Female,0.9016393442622952,0.4999999999999999,0.5184079601990049,0.1176470588235293,Yes
23,Competitor made better offer,1948-02-15 20:35:50.988524+00:00,23,Female,0.9508196721311476,0.0,0.2353233830845771,0.0941176470588235,Yes
24,Competitor made better offer,1948-02-16 20:35:50.988524+00:00,24,Male,0.8524590163934427,0.0,0.1243781094527363,0.1529411764705882,Yes
25,Competitor made better offer,1948-02-17 20:35:50.988524+00:00,25,Male,0.9836065573770494,0.0,0.0169154228855722,0.0,Yes
26,Competitor made better offer,1948-02-18 20:35:50.988524+00:00,26,Female,0.7704918032786886,0.0,0.6686567164179105,0.3176470588235294,Yes
27,Competitor made better offer,1948-02-19 20:35:50.988524+00:00,27,Male,0.9508196721311476,0.0,0.6278606965174128,0.1647058823529411,Yes
28,Network reliability,1948-02-20 20:35:50.988524+00:00,28,Female,1.0,0.2499999999999999,0.5676616915422885,0.1999999999999999,Yes
29,Limited range of services,1948-02-21 20:35:50.988524+00:00,29,Female,0.9508196721311476,0.2499999999999999,0.1014925373134328,0.3058823529411764,Yes
30,Competitor had better devices,1948-02-22 20:35:50.988524+00:00,30,Female,0.9508196721311476,0.0,0.7547263681592039,0.1411764705882352,Yes
31,Product dissatisfaction,1948-02-23 20:35:50.988524+00:00,31,Female,0.8688524590163935,0.0,0.5582089552238806,0.2588235294117647,Yes
32,Attitude of support person,1948-02-24 20:35:50.988524+00:00,32,Female,1.0,0.0,0.5666666666666667,0.2941176470588235,Yes
33,Competitor had better devices,1948-02-25 20:35:50.988524+00:00,33,Female,0.9016393442622952,0.0,0.7059701492537314,0.2823529411764705,Yes
34,Competitor had better devices,1948-02-26 20:35:50.988524+00:00,34,Female,0.8032786885245902,0.0,0.6711442786069652,0.2470588235294117,Yes
35,Attitude of support person,1948-02-27 20:35:50.988524+00:00,35,Female,0.9672131147540984,0.0,0.8656716417910447,0.3294117647058823,Yes
36,Competitor made better offer,1948-02-28 20:35:50.988524+00:00,36,Male,0.918032786885246,0.2499999999999999,0.7144278606965173,0.1647058823529411,Yes
37,Competitor made better offer,1948-02-29 20:35:50.988524+00:00,37,Male,0.9508196721311476,0.2499999999999999,0.9203980099502488,0.0588235294117646,Yes
