,churnreason,event_timestamp,customer_ids,gender,age,satisfactionscore,monthlycharge,avgmonthlygbdownload,churnlabel,avgmonthlylongdistancecharges,customerid,customer_tenure_months,customers_all_type_services,total_spent_bycustomer_yearly
0,Competitor had better devices,,365,Female,0.7704918032786886,0.0,0.6626865671641791,0.3176470588235294,Yes,0.547109421884377,6060-DRTNL,0.0563380281690141,True,0.6335925565893625
1,Attitude of service provider,,366,Male,1.0,0.4999999999999999,0.5512437810945274,0.2235294117647058,Yes,0.7977595519103822,8473-VUVJN,0.0,False,0.6428273850854049
2,Deceased,,367,Female,0.9672131147540984,0.4999999999999999,0.6577114427860696,0.1999999999999999,Yes,0.5743148629725945,0196-VULGZ,0.0704225352112676,False,0.6395639494514651
3,Competitor had better devices,,368,Female,0.819672131147541,0.0,0.2761194029850746,0.2235294117647058,Yes,0.1548309661932386,1976-CFOCS,0.0,False,0.2276767115678378
4,Competitor offered higher download speeds,,369,Male,0.9672131147540984,0.0,0.6084577114427862,0.1411764705882352,Yes,0.3446689337867573,4631-OACRM,0.1971830985915493,False,0.5254825718650189
5,Competitor offered more data,,370,Male,0.9672131147540984,0.0,0.5328358208955224,0.0588235294117646,Yes,0.9181836367273456,3755-JBMNH,0.2112676056338028,False,0.6717816969865297
6,Competitor made better offer,,371,Male,0.8032786885245902,0.4999999999999999,0.6980099502487562,0.1647058823529411,Yes,0.49249849969994,6345-ULYRW,0.6056338028169014,False,0.6392862102485768
7,Network reliability,,372,Female,0.918032786885246,0.0,0.6532338308457712,0.1294117647058823,Yes,0.147629525905181,0013-EXCHZ,0.028169014084507,True,0.4883349534786836
8,Limited range of services,,373,Female,0.8360655737704918,0.0,0.5134328358208955,0.3529411764705882,Yes,0.8691738347669535,5550-VFRLC,0.0,False,0.641230384668796
9,Price too high,,374,Female,0.7540983606557378,0.4999999999999999,0.663681592039801,0.0352941176470587,Yes,0.3652730546109222,2657-ALMWY,0.352112676056338,False,0.571170670740175
10,Don't know,,375,Male,0.8524590163934427,0.0,0.7189054726368159,0.3176470588235294,Yes,0.9223844768953792,6284-AHOOQ,0.295774647887324,True,0.8030829051520625
11,Attitude of support person,,376,Female,0.8688524590163935,0.0,0.3736318407960198,0.0705882352941176,Yes,0.0,2460-FPSYH,0.5492957746478873,False,0.2419802805165948
12,Long distance charges,,377,Male,0.819672131147541,0.0,0.017910447761194,0.0,Yes,0.3974794958991798,5028-HTLJB,0.0,False,0.1317178169698653
13,Attitude of support person,,378,Female,0.8360655737704918,0.4999999999999999,0.6601990049751243,0.3529411764705882,Yes,0.3370674134826965,0875-CABNR,0.1267605633802817,False,0.5589501458130814
14,Attitude of support person,,379,Female,1.0,0.4999999999999999,0.0258706467661692,0.0,Yes,0.4572914582916583,6982-UQZLY,0.0,False,0.1580336064435494
15,Attitude of support person,,380,Female,0.8852459016393444,0.0,0.8681592039800995,0.2235294117647058,Yes,0.338867773554711,0193-ESZXP,0.8028169014084507,True,0.7046937925288155
