customerid,gender,age,under30,seniorcitizen,married,dependents,numberofdependents,country,state,city,zipcode,latitude,longitude,population,quarter,referredafriend,numberofreferrals,offer,phoneservice,avgmonthlylongdistancecharges,multiplelines,internetservice,internettype,avgmonthlygbdownload,onlinesecurity,onlinebackup,deviceprotectionplan,premiumtechsupport,streamingtv,streamingmovies,streamingmusic,unlimiteddata,contract,paperlessbilling,paymentmethod,monthlycharge,satisfactionscore,customerstatus,churnlabel,churnscore,cltv,churncategory,churnreason,ingestiondate,customer_joined_date,customer_tenure_months,customers_all_type_services,total_spent_bycustomer_yearly
8779-QRDMV,Male,0.9672131147540983,No,Yes,No,No,0.0,United States,California,Los Angeles,0.0034151894617011624,0.15606371857836954,0.6078852083564372,0.6524877937572431,Q3,No,0.0,,No,0.0,No,Yes,DSL,0.0941176470588235,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.2129353233830846,0.4999999999999999,Churned,Yes,0.945054945054945,0.7627307093617968,Competitor,Competitor offered more data,2025-03-13,2025-02-13 00:00:00,0.0,False,0.12984307735036799
7495-OOKFY,Female,0.9016393442622952,No,Yes,Yes,Yes,0.11111111111111112,United States,California,Los Angeles,0.010082940315498501,0.15823896306081733,0.6050504571858595,0.5286870452343408,Q3,Yes,0.09090909090909091,Offer E,Yes,0.9771954390878175,Yes,Yes,Fiber Optic,0.19999999999999996,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.6208955223880598,0.4999999999999999,Churned,Yes,0.7032967032967032,0.7336001778963753,Competitor,Competitor made better offer,2025-03-13,2024-07-13 00:00:00,0.09859154929577468,False,0.7537147618386335
1658-BYGOY,Male,0.8524590163934427,No,Yes,No,Yes,0.3333333333333334,United States,California,Los Angeles,0.01040819645470814,0.16510266152500558,0.6006503852066256,0.45142200353363604,Q3,No,0.0,Offer D,Yes,0.22664532906581314,Yes,Yes,Fiber Optic,0.6117647058823529,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7681592039800995,0.24999999999999994,Churned,Yes,0.8351648351648351,0.2615076717811874,Competitor,Competitor made better offer,2025-03-13,2023-09-13 00:00:00,0.23943661971830987,True,0.5959588945979726
4598-XLKNJ,Female,0.9672131147540983,No,Yes,Yes,Yes,0.11111111111111112,United States,California,Inglewood,0.049113677020653834,0.14675942153231555,0.5904684298940961,0.26375933278872277,Q3,Yes,0.09090909090909091,Offer C,Yes,0.39527905581116224,No,Yes,Fiber Optic,0.14117647058823524,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7985074626865671,0.24999999999999994,Churned,Yes,0.912087912087912,0.7413831443184344,Dissatisfaction,Limited range of services,2025-03-13,2023-02-13 00:00:00,0.3380281690140845,True,0.6756700458269685
4846-WHAFZ,Female,1.0,No,Yes,Yes,Yes,0.11111111111111112,United States,California,Whittier,0.09773946983249315,0.1505683585010428,0.6213782480060535,0.24938731310675,Q3,Yes,0.09090909090909091,Offer C,Yes,0.126625325065013,Yes,Yes,Fiber Optic,0.16470588235294115,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5796019900497512,0.24999999999999994,Churned,Yes,0.6813186813186812,0.175672670669335,Price,Extra data charges,2025-03-13,2022-02-13 00:00:00,0.5070422535211268,False,0.42966254686849054
4412-YLTKF,Female,0.8688524590163935,No,Yes,No,Yes,0.11111111111111112,United States,California,Pico Rivera,0.10717189786957232,0.15241871431048537,0.6145413089674993,0.6010695898322473,Q3,No,0.0,Offer C,Yes,0.0666133226645329,Yes,Yes,Fiber Optic,0.2117647058823529,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.5950248756218905,0.0,Churned,Yes,0.9890109890109889,0.5859461863464531,Competitor,Competitor had better devices,2025-03-13,2022-12-13 00:00:00,0.36619718309859156,False,0.4195945007637828
0390-DCFDQ,Female,0.9344262295081969,No,Yes,Yes,Yes,0.22222222222222227,United States,California,Los Alamitos,0.11692958204586112,0.13173746656362934,0.6168866686168468,0.20263312878773487,Q3,Yes,0.09090909090909091,Offer E,Yes,0.30566113222644525,No,Yes,Fiber Optic,0.3529411764705882,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.5194029850746269,0.24999999999999994,Churned,Yes,0.7802197802197801,0.4360684901045141,Other,Don't know,2025-03-13,2025-02-13 00:00:00,0.0,False,0.44979863907790585
3445-HXXGF,Male,0.7704918032786886,No,Yes,Yes,No,0.0,United States,California,Sierra Madre,0.16636851520572454,0.17146573801236834,0.617686591770407,0.10018618082337519,Q3,Yes,0.5454545454545454,Offer B,No,0.0,No,Yes,DSL,0.28235294117647053,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2691542288557214,0.0,Churned,Yes,0.945054945054945,0.7651767845230153,Dissatisfaction,Service dissatisfaction,2025-03-13,2020-05-13 00:00:00,0.8028169014084507,False,0.16907373975836681
2656-FMOKZ,Female,0.8360655737704918,No,Yes,No,Yes,0.22222222222222227,United States,California,Pasadena,0.17970401691331933,0.16835250506070434,0.6106476439414034,0.22542128160799438,Q3,No,0.0,Offer D,Yes,0.8815763152630526,Yes,Yes,Fiber Optic,0.22352941176470584,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.5592039800995026,0.24999999999999994,Churned,Yes,0.945054945054945,0.8258839226150767,Dissatisfaction,Limited range of services,2025-03-13,2023-12-13 00:00:00,0.19718309859154934,False,0.6774753506457438
2070-FNEXE,Female,0.9508196721311476,No,Yes,No,Yes,0.22222222222222227,United States,California,Pasadena,0.17986664498292415,0.17043674669495448,0.6147338207726976,0.3073693409578814,Q3,No,0.0,Offer E,Yes,0.5391078215643128,No,Yes,Fiber Optic,0.2117647058823529,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.5791044776119403,0.24999999999999994,Churned,Yes,0.8351648351648351,0.537247053591283,Price,Lack of affordable download/upload speed,2025-03-13,2024-08-13 00:00:00,0.08450704225352118,False,0.5724899319538954
